SamplePool,Treatment,Population,State
oil_1_1_Median,1,1,1
oil_1_3_Median,1,1,1
oil_2_4_Median,1,2,1
oil_2_5_Median,1,2,1
oil_2_6_Median,1,2,1
oil_3_7_Median,1,3,2
oil_3_8_Median,1,3,2
oil_3_9_Median,1,3,2
no_4_10_Median,2,4,1
no_4_11_Median,2,4,1
no_5_13_Median,2,5,1
no_5_14_Median,2,5,1
no_5_15_Median,2,5,1
no_6_16_Median,2,6,2
no_6_17_Median,2,6,2
no_6_18_Median,2,6,2
oil_1_19_Median,1,1,1
no_4_20_Median,2,4,1
