"","ProbeName","geneSymbol","LocusLinkID","moduleColor","GS.Treatment","p.GS.Treatment","MM.turquoise","p.MM.turquoise","MM.blue","p.MM.blue","MM.brown","p.MM.brown"
"CUST_16308_PI428634872","CUST_16308_PI428634872","S_alt_contig15812","AT1G80560","blue",0.916321199793988,9.27291533071547e-08,0.669313304845889,0.00238205451180856,-0.874050726853437,2.12905843939626e-06,-0.62160305390844,0.00588900658022223
"CUST_11810_PI428634872","CUST_11810_PI428634872","S_alt_contig07016","AT1G70730","blue",-0.915712814814334,9.80694809846313e-08,-0.870109480512805,2.68920198688324e-06,0.9578405498539,4.39578230612912e-10,0.725307756103029,0.000658506791849668
"CUST_11726_PI428634872","CUST_11726_PI428634872","S_alt_contig06854","AT1G70730","blue",-0.91438330112225,1.1067467562912e-07,-0.831167356074928,1.92587298027449e-05,0.97136899692555,2.07547454101309e-11,0.7076350193067,0.00101912550359153
"CUST_2729_PI428634872","CUST_2729_PI428634872","S_5sp_contig33237","AT4G33910","blue",0.913091515422541,1.24242051153962e-07,0.921351359037678,5.73921464674829e-08,-0.873293927404917,2.2280430056312e-06,-0.801754579549788,6.3045699724024e-05
"CUST_7729_PI428634872","CUST_7729_PI428634872","S_alt_contig00767_RC","AT2G41140","blue",-0.912237360698226,1.33983634712257e-07,-0.838302447805692,1.39617457603946e-05,0.938473843162685,8.50392767139943e-09,0.716874456335394,0.000814293304014623
"CUST_7405_PI428634872","CUST_7405_PI428634872","S_alt_contig00310_RC","AT3G05950","blue",-0.907376795406719,2.03008357920141e-07,-0.867412619852983,3.14174786079779e-06,0.821604808900643,2.89827123587675e-05,0.762007238772481,0.000237477363622836
"CUST_10123_PI428634872","CUST_10123_PI428634872","S_alt_contig03906","AT3G10620","blue",0.905486230069748,2.3717021159261e-07,0.867289904103077,3.16380877193129e-06,-0.866564813080116,3.29689816233293e-06,-0.796252528243091,7.70323593418862e-05
"CUST_13361_PI428634872","CUST_13361_PI428634872","S_alt_contig09764","AT5G60540","blue",-0.904442282956614,2.58082184465556e-07,-0.858032400151417,5.26310553851133e-06,0.930925325152723,2.09513800397848e-08,0.747383115926571,0.000363809026316525
"CUST_7628_PI428634872","CUST_7628_PI428634872","S_alt_contig00628","AT5G13410","blue",-0.897118826894833,4.54994167631587e-07,-0.9160477724517,9.50972527762561e-08,0.874653460292587,2.05295509485547e-06,0.754112638451356,0.000300038320663964
"CUST_6300_PI428634872","CUST_6300_PI428634872","S_5sp_contig45750","AT5G58250","blue",0.896056779954768,4.92254396907703e-07,0.852308986206606,7.08504160180949e-06,-0.884359948018479,1.11209082167305e-06,-0.707454165448164,0.00102352667752101
"CUST_16492_PI428634872","CUST_16492_PI428634872","S_alt_contig16468_NB",NA,"blue",0.894903897985224,5.35655945875256e-07,0.854116943697473,6.4587267426706e-06,-0.769389151358325,0.000189308535249164,-0.721783513497042,0.000720264123533515
"CUST_15763_PI428634872","CUST_15763_PI428634872","S_alt_contig14143","AT1G48900","blue",0.89482124388728,5.38890607763447e-07,0.838590567943691,1.37771738572841e-05,-0.841777641880797,1.18707358371593e-05,-0.812169516621964,4.24061202769291e-05
"CUST_775_PI428634872","CUST_775_PI428634872","S_5sp_contig18550","AT3G20910","blue",0.894152308483471,5.65695788980122e-07,0.925046367050413,3.95201613081484e-08,-0.870793146075008,2.58382734526466e-06,-0.838568487032058,1.37912447888063e-05
"CUST_16534_PI428634872","CUST_16534_PI428634872","S_mar_contig00108","AT5G13410","blue",-0.893590809105414,5.89076762515277e-07,-0.908556187014558,1.83927199625164e-07,0.893819611281711,5.79450620114331e-07,0.740076585060768,0.000445578180681764
"CUST_15962_PI428634872","CUST_15962_PI428634872","S_alt_contig14723","AT1G08720","blue",0.89289313771914,6.19286324707805e-07,0.896230127444285,4.8599873196971e-07,-0.886224789661111,9.82423429641278e-07,-0.761712198750878,0.000239599286868182
"CUST_8252_PI428634872","CUST_8252_PI428634872","S_alt_contig01466","AT5G08680","blue",-0.892383886253878,6.42172812144616e-07,-0.882468763872836,1.25839641410963e-06,0.867018674481513,3.21304134994387e-06,0.813873052737313,3.96519927976217e-05
"CUST_14913_PI428634872","CUST_14913_PI428634872","S_alt_contig12317","AT2G39630","blue",0.891995330585418,6.60122519621233e-07,0.845268087789925,1.00464145584857e-05,-0.955347141223411,6.90622650628458e-10,-0.685809494095725,0.00167792990045974
"CUST_16347_PI428634872","CUST_16347_PI428634872","S_alt_contig15929","AT5G08680","blue",-0.89158198205297,6.79691242903198e-07,-0.899963893207464,3.66929995183655e-07,0.901498259328527,3.25867490148371e-07,0.804571692936939,5.67632215457357e-05
"CUST_5030_PI428634872","CUST_5030_PI428634872","S_5sp_contig42223","AT4G00550","blue",-0.890889825702106,7.13580993362628e-07,-0.777958953382104,0.000143994901062391,0.930397125687247,2.22302685188887e-08,0.698036227716072,0.00127564208860425
"CUST_9635_PI428634872","CUST_9635_PI428634872","S_alt_contig03261","AT4G28760","blue",-0.889997240907438,7.59429370410884e-07,-0.816622076779511,3.55290300410706e-05,0.912885763249507,1.26530732311154e-07,0.775998336396388,0.000153454101590943
"CUST_7035_PI428634872","CUST_7035_PI428634872","S_5sp_contig49856","AT2G30570","blue",-0.888809751030749,8.24350677914279e-07,-0.760304941312106,0.00024994158909753,0.95732622956492,4.83568032319225e-10,0.6594665189579,0.00290748653477264
"CUST_9428_PI428634872","CUST_9428_PI428634872","S_alt_contig03003","AT4G35090","blue",0.888129737765175,8.63640453071919e-07,0.693890968916945,0.00140189800419811,-0.909210576441063,1.74025067303887e-07,-0.607645801072043,0.00747465412296081
"CUST_9191_PI428634872","CUST_9191_PI428634872","S_alt_contig02708","AT3G48890","blue",0.887859878683048,8.79674092112617e-07,0.842350674254509,1.15531186464954e-05,-0.901327466779218,3.30232309818616e-07,-0.739165412282701,0.000456778999914876
"CUST_14482_PI428634872","CUST_14482_PI428634872","S_alt_contig11588_RC","AT1G50250","blue",-0.88685684850471,9.4154093150049e-07,-0.837353793615985,1.45844910844566e-05,0.897297941481599,4.48956618553462e-07,0.675242419141174,0.00210532689403279
