"","ProbeName","oil_1_1_Median","oil_1_3_Median","oil_2_4_Median","oil_2_5_Median","oil_2_6_Median","oil_3_7_Median","oil_3_8_Median","oil_3_9_Median","no_4_10_Median","no_4_11_Median","no_5_13_Median","no_5_14_Median","no_5_15_Median","no_6_16_Median","no_6_17_Median","no_6_18_Median","oil_1_19_Median","no_4_20_Median","geneSymbol","LocusLinkID","moduleColor"
"442","CUST_13102_PI428634872",1.448877209,0.9969868,0.927075592,0.666057398,0.754878619,1.054108674,0.525909219,1.030201625,1.371578927,1.165119416,1.326046937,1.27117238,1.313920838,1.84979974,1.968077822,2.030373082,1.701624085,1.227426913,"S_alt_contig09332_NB",NA,"brown"
"443","CUST_13103_PI428634872",0.820294684,0.537507574,0.504281533,0.228463047,0.213579663,0.501096332,0.107114436,0.471620372,0.818297244,0.753417449,0.775563353,0.725633037,0.858098378,1.373160047,1.467071809,1.600275686,1.204008125,0.75753849,"S_alt_contig09334_NB",NA,"brown"
"444","CUST_13112_PI428634872",-2.180137294,-0.875262845,-1.344440727,-1.330918487,-1.959028282,-2.481582872,-2.205045581,-2.551406414,-1.724962257,-1.912540951,-2.133040662,-2.041546651,-2.026132664,-2.370187655,-2.748107325,-2.511266709,-2.058807121,-2.280428276,"S_alt_contig09346","AT3G01280","brown"
"445","CUST_1312_PI428634872",-2.434699119,-2.164705092,-2.086925216,-2.096103317,-2.633440915,-1.406539487,-1.790275642,-1.067985549,-1.475347833,-1.409812023,-2.337851564,-2.228326824,-2.207930911,-0.938880242,-1.565396481,-1.266841483,-2.077613808,-2.436931446,"S_5sp_contig24276_RC","AT1G67600","brown"
"446","CUST_13126_PI428634872",0.71344817,2.398843496,0.605300263,0.319493805,0.283080443,0.951306527,0.44143643,0.98329471,-0.690902963,-0.806405095,-0.901805877,-0.865734288,-0.57066195,-1.167056716,-1.59525544,-0.856953704,-0.224772779,0.166695774,"S_alt_contig09371","AT5G15490","brown"
"447","CUST_13135_PI428634872",-0.691650682,-1.042430253,-0.40209991,-0.713882216,-0.904267532,-0.470312668,-0.405920973,-0.693585323,-0.367851553,-0.488615315,-0.574522542,-0.639081581,-0.626500908,-0.087993165,0.25012867,0.098014964,-0.78977087,-0.676961738,"S_alt_contig09391_RC","AT1G63080","brown"
"448","CUST_1314_PI428634872",-1.832483885,-1.883937714,-1.870663332,-2.073848668,-2.447480144,-1.212999266,-1.516803822,-0.524190067,-1.320766633,-1.970760706,-2.13385722,-2.213611788,-1.964581958,-0.052860888,-0.06817224,-0.340406893,-2.265182032,-2.297518098,"S_5sp_contig24334","AT3G14810","brown"
"449","CUST_13156_PI428634872",0.308520717,-0.428711422,0.764767251,0.538498021,0.502670956,0.870854717,0.539392964,0.646585049,0.778221532,0.76295555,0.577802235,0.629913694,0.54833069,0.908595867,0.799797587,0.789260234,0.458886188,0.816480159,"S_alt_contig09431","AT1G09580","brown"
"450","CUST_13159_PI428634872",-2.721441799,-2.522107452,-2.952839525,-1.651078793,-2.311907672,-1.069006938,-0.637372617,-0.526232666,-1.957201934,-1.313569469,-2.042113609,-1.734538956,-1.605841448,-0.786717624,-0.734778287,-0.816408644,-1.579801417,-1.64214329,"S_alt_contig09437","AT3G17980","brown"
"451","CUST_13160_PI428634872",-0.720573224,-0.820961609,-0.84832169,-0.465334335,-1.519969639,-0.851537811,-1.672321646,-1.205237787,-0.454719985,-0.788008629,-0.256106458,-0.599130457,-0.745603012,-0.451985301,-0.745389239,0.00743056,-0.165179522,-1.436703113,"S_alt_contig09439","AT3G17980","brown"
