locus	DumasLog2ratio
AT5G39210	Downregulated
AT5G11420	Downregulated
AT3G50685	Downregulated
AT3G18250	Upregulated
AT5G51040	Upregulated
AT5G62630	Upregulated
AT5G61820	Upregulated
AT2G18690	Upregulated
AT2G16900	Upregulated
AT1G07280	Downregulated
AT3G47070	Downregulated
AT4G14040	Downregulated
AT5G49730	Downregulated
AT4G17280	Upregulated
AT4G38840	Downregulated
AT1G60710	Upregulated
AT1G60680	Upregulated
AT5G13320	Upregulated
AT3G19820	Downregulated
AT2G07050	Downregulated
AT5G50375	Downregulated
AT5G20400	Upregulated
AT4G26200	Upregulated
AT1G80330	Upregulated
AT1G09400	Upregulated
AT5G54206	Upregulated
AT3G16460	Downregulated
AT3G16450	Downregulated
AT3G16440	Downregulated
AT5G38020	Upregulated
AT5G54770	Downregulated
AT1G74710	Upregulated
AT1G72090	Downregulated
AT5G50210	Upregulated
AT1G75030	Upregulated
AT3G52430	Downregulated
AT5G47130	Upregulated
AT5G47120	Upregulated
AT5G06320	Upregulated
AT4G22210	Downregulated
AT5G45490	Downregulated
AT1G33590	Upregulated
AT1G66090	Upregulated
AT2G29500	Upregulated
AT5G49910	Downregulated
AT3G22530	Upregulated
AT1G65280	Upregulated
AT5G56030	Upregulated
AT1G59860	Upregulated
AT5G57710	Upregulated
AT5G52640	Upregulated
AT1G62320	Upregulated
AT1G04430	Downregulated
AT3G23300	Downregulated
AT4G00750	Upregulated
AT3G10985	Downregulated
AT4G14630	Upregulated
AT1G53580	Upregulated
AT5G24760	Downregulated
AT1G05240	Downregulated
AT1G54000	Downregulated
AT3G16420	Downregulated
AT4G12545	Downregulated
AT4G09750	Upregulated
AT3G09260	Downregulated
AT2G36690	Downregulated
AT1G14120	Upregulated
AT5G17000	Upregulated
AT1G14130	Upregulated
AT4G15760	Upregulated
AT4G20830	Upregulated
AT1G26380	Upregulated
AT2G07811	Upregulated
AT4G34620	Downregulated
AT3G17170	Downregulated
AT3G48930	Downregulated
AT4G34670	Downregulated
AT3G02560	Downregulated
AT4G27090	Downregulated
AT3G23390	Downregulated
AT4G14320	Downregulated
AT1G26630	Upregulated
AT2G31660	Upregulated
AT4G03320	Upregulated
AT1G23490	Upregulated
AT1G71530	Upregulated
AT1G70490	Upregulated
AT4G11890	Upregulated
AT3G51260	Upregulated
AT2G31865	Upregulated
AT1G32940	Upregulated
AT3G45180	Upregulated
AT5G23540	Upregulated
AT2G05840	Upregulated
AT4G29040	Upregulated
AT2G15530	Upregulated
AT1G22500	Upregulated
AT1G66180	Downregulated
AT1G69100	Downregulated
AT1G11910	Upregulated
AT3G50930	Upregulated
