"","locus","SAlog2ratio","WeisLog2ratio","DumasLog2ratio"
"141","AT5G16400",-5.33112860320431,-1.88555337586051,NA
"50","AT2G14910",-3.596214962634,-1.34889631553041,NA
"119","AT4G27280",-3.31171504951367,-2.35135783654959,NA
"66","AT2G37220",-1.90519399320308,-1.00147718535204,NA
"41","AT1G77120",-1.83242521073896,2.94578872491594,0.586
"80","AT3G18080",-1.82028505667112,-1.22435543876007,NA
"126","AT4G36430",-1.66802886240245,1.92314507959067,NA
"91","AT3G48930",-1.40225470098087,NA,-0.226
"61","AT2G31040",-1.38437163626159,-1.47868269126811,NA
"53","AT2G16430",-1.2711530550659,NA,0.218
"163","AT5G62720",-1.15502080538639,NA,0.318
"43","AT1G80380",-1.08272523749408,-1.00633260407849,NA
"24","AT1G55490",-0.97088899174652,NA,-0.242
"159","AT5G52440",-0.954826812500025,-1.19636500355948,NA
"86","AT3G44750",-0.833697023353988,1.12364193366167,NA
"125","AT4G35760",-0.802651219800852,-1.03482447489933,NA
"13","AT1G20020",-0.761118958989303,-1.66115105128498,NA
"32","AT1G62750",-0.740121608284478,-1.30679678723504,NA
"3","AT1G06550",-0.704475925606673,NA,-0.238
"139","AT5G13750",-0.600762730598473,1.4054734344227,NA
"39","AT1G76490",-0.598592665063945,-1.07999444658029,NA
"7","AT1G11860",-0.589075341517697,-1.82523750029668,-0.558
"67","AT2G41560",-0.586106312808472,-1.25536351682631,NA
"140","AT5G14780",-0.557694602994246,NA,-0.036
"20","AT1G52220",-0.46874346731584,-1.60309034394926,NA
"133","AT5G04140",-0.441782952256186,-1.86596443062155,NA
"88","AT3G45180",-0.425046531962594,NA,0.508
"56","AT2G21960",-0.414435505209601,-1.23402873314944,NA
"117","AT4G21280",-0.38600725793396,-1.72318505621225,NA
"1","AT1G04420",-0.375039961599185,-1.22220784464626,NA
"161","AT5G54500",-0.310259270509395,1.68094812760396,1.204
"49","AT2G10940",-0.305743104014459,-3.09833227525768,NA
"21","AT1G52510",-0.305170413530548,-1.83908049329165,NA
"149","AT5G24760",-0.283255075863562,NA,-0.63
"99","AT3G55800",-0.265641801019844,-1.49597776105171,NA
"156","AT5G48790",-0.254234346991581,-1.84057772129866,NA
"142","AT5G16710",-0.214931955943493,-1.05375222112558,NA
"69","AT2G42790",-0.203389312103551,1.02151671341982,NA
"48","AT2G07050",-0.200687069466553,NA,-0.22
"10","AT1G16300",-0.195783881265833,1.53420165373656,NA
"129","AT4G38160",-0.188606168887424,NA,-0.488
"87","AT3G45140",-0.185987856154522,1.67028089797982,-0.09
"145","AT5G18480",-0.184978457719404,NA,0.294
"45","AT2G03200",-0.17443523445841,1.11893146669141,NA
"78","AT3G14770",-0.158234934556424,NA,0.182
"121","AT4G33500",-0.133413804994357,-1.36393986070498,NA
"152","AT5G26570",-0.132444469860198,NA,-0.05
"79","AT3G15360",-0.131475040084489,-1.0296420023443,NA
"134","AT5G04430",-0.111523047301069,NA,-0.216
"8","AT1G11910",-0.102845870830266,NA,0.084
"44","AT2G01110",-0.0861533632837989,-1.31510110939515,NA
"104","AT4G01800",-0.073959402889715,-1.53544358603674,NA
"109","AT4G14320",-0.0709003468996256,NA,-0.18
"64","AT2G36460",-0.0660033558518067,NA,0.57
"37","AT1G68010",-0.00972695785296123,-1.89996131911323,NA
"158","AT5G50210",-0.00273235438689132,NA,0.382
"57","AT2G22540",0.0168795381213641,-1.03441602358531,NA
"47","AT2G05990",0.0357458775141068,NA,-0.198
"164","AT5G65220",0.0614151953809242,-1.2574736933967,NA
"128","AT4G37870",0.0700035891809179,1.14806223462269,NA
"111","AT4G16260",0.0958154692632966,2.65328026123953,NA
"94","AT3G52990",0.09758427715193,NA,NA
"166","ATCG00020",0.098263196947041,-2.06614636869632,NA
"62","AT2G31660",0.103786197545592,NA,0.314
"90","AT3G47470",0.129297635581849,-1.32007516557254,NA
"60","AT2G30570",0.130238242242512,-1.01189630424693,NA
"29","AT1G59960",0.135577554888947,1.21678541372358,NA
"162","AT5G61820",0.136410481241144,1.51963511202625,0.618
"15","AT1G31330",0.146298348281845,-1.88499511606136,NA
"144","AT5G17920",0.147517316595172,NA,-0.518
"71","AT2G44160",0.157057168791693,NA,-0.566
"2","AT1G05190",0.16609476058564,-1.36188712360246,NA
"113","AT4G18240",0.176794901668046,-1.19384195987949,NA
"75","AT3G03150",0.188769626928477,-1.64305104623399,NA
"16","AT1G42970",0.192377078409209,-1.25152636313241,NA
"102","AT3G63490",0.215112295274861,-1.31293007840653,NA
"22","AT1G53310",0.215954211514246,1.13361676431988,NA
"19","AT1G50250",0.216949698499936,-1.24365245135365,NA
"103","AT4G01150",0.224063810695953,-1.08248938361333,NA
"160","AT5G54270",0.224751085867448,-1.46061468518515,NA
"108","AT4G12800",0.228223153846293,-1.18890463090205,NA
"51","AT2G15240",0.242474320985059,NA,0.228
"55","AT2G21620",0.24719229818629,1.03287045792638,0.956
"96","AT3G54660",0.248270883076816,-1.02667348237304,NA
"92","AT3G50930",0.25058443313154,NA,0.188
"31","AT1G61790",0.251046781724936,NA,0.206
"54","AT2G21385",0.253036852600683,-1.23363969215778,NA
"118","AT4G22890",0.25356401316111,-1.76827312830105,NA
"36","AT1G67740",0.256257235510221,-2.03163603570865,NA
"143","AT5G17380",0.265698113888792,1.23573359263347,0.51
"68","AT2G41680",0.27837455089294,-1.00385625427015,NA
"23","AT1G55480",0.279303175286014,-1.13419782740475,NA
"116","AT4G20360",0.282069764378754,-1.25031581236402,NA
"14","AT1G30380",0.28842117772875,-1.0656155090252,NA
"17","AT1G43670",0.310566485581616,-1.90459232045334,NA
"11","AT1G17220",0.312203654857093,-1.39855070661467,NA
"167","ATCG00140",0.31899876701583,-1.15852407951506,NA
"100","AT3G56940",0.319497502997675,-1.24450823366658,NA
"93","AT3G51130",0.326431362067704,NA,0.22
