"","locus","SAlog2ratio","WeisLog2ratio","DumasLog2ratio"
"77","AT3G12740",0.345627052191218,1.03504492497821,NA
"30","AT1G60950",0.354042645102747,-1.88582253743201,-0.36
"12","AT1G18730",0.360242405785339,-1.51759940419208,NA
"110","AT4G15610",0.363464294968007,1.03598659360057,NA
"115","AT4G19880",0.38594383307953,1.2575443722608,NA
"106","AT4G09650",0.387198765620657,-1.45786655423677,NA
"168","ATCG00150",0.392266733565723,-1.84060852248119,NA
"4","AT1G06680",0.403790150001131,-1.31247533088592,NA
"154","AT5G46110",0.408622308787827,-1.21906147463487,NA
"25","AT1G56110",0.409284691237987,1.02042445664898,NA
"38","AT1G69830",0.414828203853231,-1.0185682646215,NA
"137","AT5G13630",0.418043941446773,-2.47592455946273,NA
"73","AT2G46820",0.462403177422615,-1.57763069758126,NA
"155","AT5G47120",0.477833994852388,NA,0.462
"82","AT3G22850",0.479433349868057,1.28334813353113,NA
"135","AT5G06690",0.495147717151321,-1.93525510129273,NA
"58","AT2G26500",0.499918244888283,-1.38835176545447,NA
"18","AT1G44446",0.511297694792247,-1.25244506908138,NA
"34","AT1G65930",0.555816675535157,NA,-0.594
"5","AT1G08520",0.585044578586736,-1.23020584248404,NA
"9","AT1G12900",0.585109001786572,-1.70711606687532,NA
"147","AT5G24300",0.594922789855443,-1.33338074831898,NA
"153","AT5G36170",0.595843635205709,-1.14744301101634,NA
"151","AT5G25770",0.60133089123297,1.11013079969528,NA
"138","AT5G13650",0.60191726601146,-1.20962765954028,NA
"157","AT5G48930",0.646554747715654,NA,-1.032
"95","AT3G54050",0.696840742959048,-1.61115214618059,NA
"28","AT1G58290",0.700619544126887,-2.50186285711154,NA
"123","AT4G34670",0.700987248221933,NA,-0.192
"114","AT4G18370",0.712076981697935,-1.55123151543016,NA
"107","AT4G10340",0.714631700560619,-1.16833337621104,NA
"33","AT1G64860",0.728085850429889,-1.26998321652387,NA
"122","AT4G34090",0.748785236700464,-1.76750920309002,NA
"130","AT4G39670",0.758635854970625,NA,1.31
"65","AT2G36770",0.818976595334995,NA,0.514
"136","AT5G10560",0.894572779167802,NA,-0.456
"46","AT2G04400",0.930464293406041,1.07776381662825,NA
"26","AT1G56500",0.944824334134109,-1.6784042994559,NA
"27","AT1G56500",0.944824334134109,-1.56259753630785,NA
"81","AT3G18290",0.976625926626062,1.8014947218651,NA
"76","AT3G06650",0.99211214167402,NA,-0.278
"148","AT5G24530",1.01171047574584,2.48511250212626,NA
"84","AT3G27925",1.0274192323038,-1.4633461713533,NA
"85","AT3G29200",1.04196454012992,NA,-0.566
"89","AT3G47070",1.08676026963385,-2.79116410644654,-0.36
"83","AT3G24430",1.20124394586342,-1.47720287313745,NA
"97","AT3G54890",1.21428543841093,-1.70240956128789,NA
"6","AT1G09340",1.25962254663928,-1.59827649812543,NA
"63","AT2G33150",1.28386786264492,1.03138846729226,0.304
"74","AT3G01480",1.331369446611,-1.73843089863823,-0.42
"70","AT2G43560",1.37939814781593,-1.6545515893593,NA
"132","AT5G03300",1.38440462274106,NA,-0.408
"120","AT4G33420",1.49203529765511,NA,0.416
"98","AT3G55330",1.4987806587546,-1.54496979419007,NA
"52","AT2G15530",1.54405762977906,NA,1.224
"35","AT1G66580",1.59206093771176,1.08109672355973,0.82
"112","AT4G16410",1.62080233358177,-1.20461334330879,NA
"42","AT1G78680",1.68304180614609,NA,0.902
"124","AT4G35250",2.0592911325819,-2.017227542303,NA
"146","AT5G19440",2.10551950389094,1.28764321919202,0.418
"127","AT4G37040",2.17819449582926,-1.37041768697952,NA
"40","AT1G76730",2.32306398904098,-1.07028005777446,NA
"165","AT5G65840",2.33389501509392,-1.0557480137715,NA
"131","AT5G01750",2.59437315287281,NA,0.116
"150","AT5G24800",2.99784334951769,-1.01074848661134,NA
"105","AT4G02530",3.20733212887174,-1.17422557017768,NA
"59","AT2G30170",3.47814369268877,-1.87210186368444,NA
"101","AT3G58810",3.88969943965197,2.22456244044237,NA
"72","AT2G44350",4.12578031043383,1.07105960097704,0.254
