ID	Species	Log2ratio
AT2G22540	Spartina	Upregulated
AT2G22540	Weisman	Downregulated
AT2G22540	Dumas	NA
AT2G23390	Spartina	Upregulated
AT2G23390	Weisman	Downregulated
AT2G23390	Dumas	NA
AT2G26500	Spartina	Upregulated
AT2G26500	Weisman	Downregulated
AT2G26500	Dumas	NA
AT2G28190	Spartina	Upregulated
AT2G28190	Weisman	Upregulated
AT2G28190	Dumas	NA
AT2G30170	Spartina	Upregulated
AT2G30170	Weisman	Downregulated
AT2G30170	Dumas	NA
AT2G30570	Spartina	Upregulated
AT2G30570	Weisman	Downregulated
AT2G30570	Dumas	NA
AT2G31040	Spartina	Upregulated
AT2G31040	Weisman	Downregulated
AT2G31040	Dumas	NA
AT2G31660	Spartina	Downregulated
AT2G31660	Weisman	NA
AT2G31660	Dumas	Upregulated
AT2G32480	Spartina	Upregulated
AT2G32480	Weisman	Downregulated
AT2G32480	Dumas	NA
AT2G33150	Spartina	Upregulated
AT2G33150	Weisman	Upregulated
AT2G33150	Dumas	Upregulated
AT2G34860	Spartina	Upregulated
AT2G34860	Weisman	Downregulated
AT2G34860	Dumas	NA
AT2G36460	Spartina	Downregulated
AT2G36460	Weisman	NA
AT2G36460	Dumas	Upregulated
AT2G36770	Spartina	Downregulated
AT2G36770	Weisman	NA
AT2G36770	Dumas	Upregulated
AT2G37220	Spartina	Downregulated
AT2G37220	Weisman	Downregulated
AT2G37220	Dumas	NA
AT2G41560	Spartina	Upregulated
AT2G41560	Weisman	Downregulated
AT2G41560	Dumas	NA
AT2G41680	Spartina	Upregulated
AT2G41680	Weisman	Downregulated
AT2G41680	Dumas	NA
AT2G42790	Spartina	Downregulated
AT2G42790	Weisman	Upregulated
AT2G42790	Dumas	NA
AT2G43560	Spartina	Upregulated
AT2G43560	Weisman	Downregulated
AT2G43560	Dumas	NA
AT2G44160	Spartina	Upregulated
AT2G44160	Weisman	NA
AT2G44160	Dumas	Downregulated
AT2G44350	Spartina	Upregulated
AT2G44350	Weisman	Upregulated
AT2G44350	Dumas	Upregulated
AT2G46820	Spartina	Upregulated
AT2G46820	Weisman	Downregulated
AT2G46820	Dumas	NA
AT3G01480	Spartina	Upregulated
AT3G01480	Weisman	Downregulated
AT3G01480	Dumas	Downregulated
AT3G03150	Spartina	Downregulated
AT3G03150	Weisman	Downregulated
AT3G03150	Dumas	NA
AT3G06650	Spartina	Upregulated
AT3G06650	Weisman	NA
AT3G06650	Dumas	Downregulated
AT3G12740	Spartina	Downregulated
AT3G12740	Weisman	Upregulated
AT3G12740	Dumas	NA
AT3G14770	Spartina	Upregulated
AT3G14770	Weisman	NA
AT3G14770	Dumas	Upregulated
AT3G15360	Spartina	Upregulated
AT3G15360	Weisman	Downregulated
AT3G15360	Dumas	NA
AT3G18080	Spartina	Upregulated
AT3G18080	Weisman	Downregulated
AT3G18080	Dumas	NA
AT3G18290	Spartina	Downregulated
AT3G18290	Weisman	Upregulated
AT3G18290	Dumas	NA
AT3G22850	Spartina	Downregulated
AT3G22850	Weisman	Upregulated
AT3G22850	Dumas	NA
AT3G24430	Spartina	Upregulated
AT3G24430	Weisman	Downregulated
AT3G24430	Dumas	NA
AT3G27925	Spartina	Upregulated
AT3G27925	Weisman	Downregulated
AT3G27925	Dumas	NA
AT3G29200	Spartina	Upregulated
AT3G29200	Weisman	NA
AT3G29200	Dumas	Downregulated
AT3G44750	Spartina	Downregulated
AT3G44750	Weisman	Upregulated
AT3G44750	Dumas	NA
AT3G45140	Spartina	Upregulated
AT3G45140	Weisman	Upregulated
AT3G45140	Dumas	Downregulated
AT3G45180	Spartina	Downregulated
AT3G45180	Weisman	NA
AT3G45180	Dumas	Upregulated
AT3G47070	Spartina	Upregulated
AT3G47070	Weisman	Downregulated
AT3G47070	Dumas	Downregulated
AT3G47470	Spartina	Upregulated
AT3G47470	Weisman	Downregulated
AT3G47470	Dumas	NA
AT3G48930	Spartina	Downregulated
AT3G48930	Weisman	NA
AT3G48930	Dumas	Downregulated
AT3G50930	Spartina	Downregulated
AT3G50930	Weisman	NA
AT3G50930	Dumas	Upregulated
AT3G51130	Spartina	Downregulated
AT3G51130	Weisman	NA
AT3G51130	Dumas	Upregulated
AT3G52990	Spartina	Downregulated
AT3G52990	Weisman	NA
AT3G52990	Dumas	NA
AT3G54050	Spartina	Upregulated
AT3G54050	Weisman	Downregulated
AT3G54050	Dumas	NA
AT3G54660	Spartina	Upregulated
AT3G54660	Weisman	Downregulated
AT3G54660	Dumas	NA
AT3G54890	Spartina	Upregulated
AT3G54890	Weisman	Downregulated
AT3G54890	Dumas	NA
AT3G55330	Spartina	Upregulated
