ProbeName,oil_1_1_Median,oil_1_3_Median,oil_2_4_Median,oil_2_5_Median,oil_2_6_Median,oil_3_7_Median,oil_3_8_Median,oil_3_9_Median,no_4_10_Median,no_4_11_Median,no_5_13_Median,no_5_14_Median,no_5_15_Median,no_6_16_Median,no_6_17_Median,no_6_18_Median,oil_1_19_Median,no_4_20_Median
CUST_10074_PI428634872,-2.457760799,-1.740155141,-2.132229148,-2.997701605,-2.934838373,-3.075712257,-3.306948957,-2.772909291,-1.633221652,-1.931232513,-2.801734542,-2.681824652,-2.639151719,-1.537832023,-1.206326447,-1.632134225,-2.787624379,-1.336389142
CUST_10075_PI428634872,-2.394040914,-1.780724942,-2.252322645,-1.954839812,-1.783619972,-1.670317505,-1.578970293,-1.848464068,-1.642223813,-1.636816843,-1.46581038,-1.525708348,-1.621165779,-2.131164849,-2.156936586,-2.1072605,-2.418904728,-1.512932147
CUST_10076_PI428634872,-0.333716408,0.432006819,0.301442292,0.197765302,0.007558784,0.638665896,0.704179429,0.517872333,0.711642628,0.926819816,0.429602815,0.546306712,0.614516747,0.74574923,0.658076086,0.611288186,0.34775459,0.804000447
CUST_10077_PI428634872,0.023284094,-0.00061812,0.066898069,-0.033724135,0.127355513,0.131376671,-0.205254496,-0.384959469,0.775468375,0.612761248,1.475218862,1.396281595,1.301647178,-0.241882347,-0.077044213,-0.203854238,0.176133777,0.613325991
CUST_10078_PI428634872,0.78686076,0.514323129,0.94039205,0.88048049,1.041630849,0.565151992,0.490178893,0.692668716,1.092479458,0.986326332,1.042891097,0.964314191,0.759714462,0.850733954,0.491371579,0.659593943,0.67117896,0.654214322
CUST_10079_PI428634872,-2.910332534,-3.09763368,-2.719939936,-2.714206875,-2.995610482,-2.738660089,-2.87742096,-2.971613044,-2.481932587,-2.658178885,-2.259900613,-2.489378967,-2.615707328,-3.169991394,-3.244164507,-3.337188847,-2.500561314,-2.427296007
CUST_1007_PI428634872,-2.051740764,-2.352666518,-2.287530497,-2.13270516,-2.157091217,-2.413052194,-2.166933227,-2.05800079,-1.841843194,-2.19596415,-1.926507154,-1.973866762,-2.058652476,-2.420730167,-2.544699748,-2.814613141,-3.080849741,-2.501647155
CUST_10080_PI428634872,1.678753216,1.262925436,1.199270204,0.972907171,1.282735494,1.649007003,1.551575295,1.805193069,0.430458888,0.956742077,0.344010169,0.566644357,0.425253766,1.74978499,1.41641542,1.523618318,1.128853612,0.629882941
CUST_10081_PI428634872,0.437266324,0.438236277,0.544184755,0.425854528,-0.11378643,0.761831869,0.599114502,0.693154954,0.805942858,0.654529744,0.880175775,0.755045239,0.790742629,0.1141962,0.099941246,0.088214021,0.292685231,0.857494392
CUST_10082_PI428634872,-0.660910934,-0.175506298,-0.455196086,-0.440828595,-0.490602755,-0.27638558,-0.499327191,-0.325355876,-0.274847271,-0.373868448,-0.253823475,-0.29797447,-0.306501884,-0.417831669,-0.486740586,-0.404627639,-0.395953902,-0.367183631
CUST_10083_PI428634872,2.333587498,2.222347165,2.422054934,2.368180291,2.527828415,2.05474516,2.072312788,2.16262855,1.784538008,1.698336268,1.412005485,1.700158833,1.790503477,1.792135161,1.70818937,1.863470181,2.171892807,1.881261933
CUST_10084_PI428634872,,-6.709295037,-7.299707034,-7.51491303,-7.314257095,-6.90433823,-7.094005097,-6.500377344,-5.706400154,-6.45720953,-6.569552251,-6.317663355,-6.689787283,-7.477633215,-7.153625406,-7.701863073,-6.002598357,-6.267013639
CUST_10085_PI428634872,-6.369337395,-7.306954967,-5.837926875,-7.494885547,-7.052687327,-7.014324524,-7.538149393,-7.415167805,-5.506448867,-5.502996185,-5.411995098,-5.670333225,-5.565763759,-6.863722277,-7.062934293,-7.145593511,-7.333273024,-6.009814095
CUST_10086_PI428634872,-3.219919858,-2.983570404,-2.503454151,-2.150164867,-2.763523035,-1.601929564,-1.82170511,-1.424315311,-1.5380411,-1.368193237,-1.653773065,-1.349450242,-0.808188533,-0.986644938,-0.888852744,-1.247330471,-2.260580651,-1.035898926
CUST_10087_PI428634872,-1.021329254,-1.212468233,-0.831374341,-0.673776776,-0.939363717,-0.440444626,-0.375768516,-0.5408102,-0.56813433,-0.50747895,-0.526417592,-0.721699574,-0.628391635,-0.844714512,-1.047571916,-0.850418026,-1.270927404,-0.807174185
CUST_10088_PI428634872,0.379552752,0.27626826,0.437040658,0.416972977,0.520676989,0.561467239,0.561567734,0.63251591,0.475594489,0.444157794,0.674598907,0.670034884,0.645374333,0.538548409,0.515754468,0.443397162,0.47405938,0.489489647
CUST_10089_PI428634872,-3.039025114,-3.24517909,-2.814314215,-3.25442622,-2.947662427,-3.274976642,-3.388535825,-3.636940979,-3.046130555,-3.067365757,-3.149289114,-3.370844856,-3.474720086,-2.84524918,-2.527024055,-2.714391727,-3.014394719,-2.450318914
CUST_10090_PI428634872,,-7.198630875,-7.196569808,-7.506305344,-7.314596647,,-7.719921383,-6.718608248,-6.975990859,,-7.576854799,-7.747115351,,-7.63509893,-6.831745095,-7.707269024,,-6.994155327
CUST_10091_PI428634872,-0.928103296,-1.771863764,-1.131271743,-0.999205096,-1.044637073,-0.734166842,-1.068257408,-1.481074372,-0.217142048,-0.31922881,-1.179237047,-0.957068151,-0.804752632,-2.137276386,-2.28234436,-2.636375956,-0.70318976,-0.118446677
CUST_10092_PI428634872,-3.750951937,-6.828764408,-2.304826657,,-4.015096797,,,,-3.494876754,-3.203476438,,,,-5.037139806,-4.604337473,-4.253281218,,-2.436538299
CUST_10093_PI428634872,-2.695995339,-4.214291454,-4.179086449,-3.41564921,-2.753721753,-3.513658278,-2.930577137,-4.02346665,-4.080897964,-5.682251638,-5.02227485,-5.29872417,-4.742296413,-4.525863404,-3.836016043,-4.651020116,-3.993225919,-3.950107792
CUST_10094_PI428634872,-0.422198951,-0.581866385,-0.257221649,0.039944317,-0.155396636,-0.40359459,-0.384993383,-0.168834408,-0.847194347,-0.414471191,-0.638303437,-0.558223405,-0.599693225,-0.17866636,-0.183084471,-0.344625859,-0.442157141,-0.647395332
CUST_10095_PI428634872,-4.204885479,-3.607973174,-4.275701234,-3.743777046,-4.66061485,-4.381927269,-4.798746477,-4.162598497,-2.71809676,-2.806952914,-2.873142906,-3.046950695,-2.779493422,-4.159382429,-4.190124493,-4.1203888,-3.930764779,-2.756777692
CUST_10096_PI428634872,0.786992627,0.011480611,1.251958831,1.276649342,1.156550166,1.480641549,-0.152630412,1.581975191,2.282874832,1.885121352,2.525510231,2.204882996,2.345034843,2.711025631,2.434034127,2.353900059,1.856090879,1.346851063
CUST_10097_PI428634872,-4.864142163,-4.944038409,-6.527049241,-5.68985403,-5.739376013,-4.771899264,-5.121143299,-5.787263555,-6.147379254,-5.036038749,-3.998252028,-3.954566938,-3.83998335,-6.899323955,-6.8797671,-7.489355827,-4.532572151,-4.434281868
CUST_10098_PI428634872,-2.700401331,-2.484950766,-2.643857065,-2.320659335,-2.595778379,-2.097396506,-2.073031625,-1.854969876,-2.314594416,-2.124754465,-2.720334129,-2.566151862,-2.616907465,-2.073627242,-2.217239704,-1.773426278,-2.266095711,-2.09280395
CUST_10099_PI428634872,1.103234258,0.347880291,0.52318299,0.957406296,0.574413643,1.879461276,1.45358105,1.827558513,1.173867476,1.517473539,0.957948676,0.800825998,0.895104025,1.177149604,1.17761687,1.244570625,1.42694352,1.094225168
