locus	WeisLog2ratio
AT5G24470	Downregulated
AT5G24490	Downregulated
AT5G24660	Upregulated
AT5G24530	Upregulated
AT5G24090	Upregulated
AT5G24160	Upregulated
AT5G24210	Upregulated
AT5G24300	Downregulated
AT5G22860	Upregulated
AT5G22920	Downregulated
AT5G23120	Downregulated
AT5G23060	Downregulated
AT5G22580	Downregulated
AT5G22620	Downregulated
AT5G22640	Downregulated
AT5G19140	Downregulated
AT5G19120	Downregulated
AT5G19220	Downregulated
AT5G18310	Upregulated
AT5G18600	Downregulated
AT5G18660	Downregulated
AT5G18150	Upregulated
AT5G17870	Downregulated
AT5G17170	Downregulated
AT5G17380	Upregulated
AT5G16400	Downregulated
AT5G14260	Downregulated
AT5G13930	Upregulated
AT5G13420	Upregulated
AT5G13630	Downregulated
AT5G13740	Upregulated
AT5G13750	Upregulated
AT5G13730	Downregulated
AT5G13650	Downregulated
AT5G13770	Downregulated
AT5G13200	Upregulated
AT5G13240	Downregulated
AT5G11420	Downregulated
AT5G11520	Upregulated
AT5G10580	Upregulated
AT5G10760	Upregulated
AT5G09660	Downregulated
AT5G08260	Upregulated
AT5G08650	Downregulated
AT5G08640	Upregulated
AT5G08050	Downregulated
AT5G07440	Upregulated
AT5G06690	Downregulated
AT5G07020	Downregulated
AT5G06860	Upregulated
AT5G06290	Downregulated
AT5G05690	Downregulated
AT5G03880	Downregulated
AT5G03350	Upregulated
AT5G02940	Downregulated
AT5G02840	Downregulated
AT5G02780	Upregulated
AT5G02270	Upregulated
AT5G02120	Downregulated
AT5G02160	Downregulated
AT3G63410	Downregulated
AT3G63490	Downregulated
AT3G63160	Downregulated
AT3G63140	Downregulated
AT3G62600	Upregulated
AT3G62630	Downregulated
AT3G62720	Downregulated
AT3G62410	Downregulated
AT3G61870	Downregulated
AT3G61260	Downregulated
AT3G61470	Downregulated
 AT5G28450	Downregulated
AT3G61080	Downregulated
AT3G61060	Downregulated
AT3G60450	Upregulated
AT2G45470	Downregulated
AT3G60420	Upregulated
AT3G60140	Upregulated
AT3G59930	Upregulated
 AT5G33355	Upregulated
AT3G59060	Downregulated
AT3G58550	Upregulated
