"","locus","SAlog2ratio","WeisLog2ratio","DumasLog2ratio"
"1","AT1G04420","Upregulated","Downregulated",NA
"2","AT1G05190","Upregulated","Downregulated",NA
"3","AT1G06550","Upregulated",NA,"Downregulated"
"4","AT1G06680","Upregulated","Downregulated",NA
"5","AT1G08520","Upregulated","Downregulated",NA
"6","AT1G09340","Upregulated","Downregulated",NA
"7","AT1G11860","Upregulated","Downregulated","Downregulated"
"8","AT1G11910","Downregulated",NA,"Upregulated"
"9","AT1G12900","Upregulated","Downregulated",NA
"10","AT1G16300","Upregulated","Upregulated",NA
"11","AT1G17220","Upregulated","Downregulated",NA
"12","AT1G18730","Upregulated","Downregulated",NA
"13","AT1G20020","Downregulated","Downregulated",NA
"14","AT1G30380","Upregulated","Downregulated",NA
"15","AT1G31330","Upregulated","Downregulated",NA
"16","AT1G32060","Upregulated","Downregulated",NA
"17","AT1G42970","Upregulated","Downregulated",NA
"18","AT1G43670","Upregulated","Downregulated",NA
"19","AT1G44000","Upregulated","Downregulated",NA
"20","AT1G44446","Upregulated","Downregulated",NA
"21","AT1G50250","Upregulated","Downregulated",NA
"22","AT1G52220","Upregulated","Downregulated",NA
"23","AT1G52510","Upregulated","Downregulated",NA
"24","AT1G53310","Upregulated","Upregulated",NA
"25","AT1G55480","Upregulated","Downregulated",NA
"26","AT1G55490","Downregulated",NA,"Downregulated"
"27","AT1G55850","Downregulated",NA,"Upregulated"
"28","AT1G56110","Downregulated","Upregulated",NA
"29","AT1G56500","Upregulated","Downregulated",NA
"30","AT1G56500","Upregulated","Downregulated",NA
"31","AT1G58290","Upregulated","Downregulated",NA
"32","AT1G59960","Downregulated","Upregulated",NA
"33","AT1G60950","Upregulated","Downregulated","Downregulated"
"34","AT1G61790","Downregulated",NA,"Upregulated"
"35","AT1G62750","Upregulated","Downregulated",NA
"36","AT1G64720","Downregulated","Downregulated",NA
"37","AT1G64860","Upregulated","Downregulated",NA
"38","AT1G65930","Downregulated",NA,"Downregulated"
"39","AT1G66580","Upregulated","Upregulated","Upregulated"
"40","AT1G67740","Upregulated","Downregulated",NA
"41","AT1G68010","Downregulated","Downregulated",NA
"42","AT1G69830","Downregulated","Downregulated",NA
"43","AT1G74970","Upregulated","Downregulated",NA
"44","AT1G76490","Upregulated","Downregulated",NA
"45","AT1G76730","Upregulated","Downregulated",NA
"46","AT1G77120","Downregulated","Upregulated","Upregulated"
"47","AT1G78680","Downregulated",NA,"Upregulated"
"48","AT1G80380","Upregulated","Downregulated",NA
"49","AT2G01110","Upregulated","Downregulated",NA
"50","AT2G02500","Upregulated","Downregulated",NA
"51","AT2G03200","Upregulated","Upregulated",NA
"52","AT2G04400","Downregulated","Upregulated",NA
"53","AT2G05990","Downregulated",NA,"Downregulated"
"54","AT2G07050","Upregulated",NA,"Downregulated"
"55","AT2G10940","Upregulated","Downregulated",NA
"56","AT2G14910","Downregulated","Downregulated",NA
"57","AT2G15240","Downregulated",NA,"Upregulated"
"58","AT2G15530","Upregulated",NA,"Upregulated"
"59","AT2G16430","Downregulated",NA,"Upregulated"
"60","AT2G21385","Upregulated","Downregulated",NA
"61","AT2G21620","Downregulated","Upregulated","Upregulated"
"62","AT2G21960","Upregulated","Downregulated",NA
"63","AT2G22540","Upregulated","Downregulated",NA
"64","AT2G23390","Upregulated","Downregulated",NA
"65","AT2G26500","Upregulated","Downregulated",NA
"66","AT2G28190","Upregulated","Upregulated",NA
"67","AT2G30170","Upregulated","Downregulated",NA
"68","AT2G30570","Upregulated","Downregulated",NA
"69","AT2G31040","Upregulated","Downregulated",NA
"70","AT2G31660","Downregulated",NA,"Upregulated"
"71","AT2G32480","Upregulated","Downregulated",NA
"72","AT2G33150","Upregulated","Upregulated","Upregulated"
"73","AT2G34860","Upregulated","Downregulated",NA
"74","AT2G36460","Downregulated",NA,"Upregulated"
"75","AT2G36770","Downregulated",NA,"Upregulated"
"76","AT2G37220","Downregulated","Downregulated",NA
"77","AT2G41560","Upregulated","Downregulated",NA
"78","AT2G41680","Upregulated","Downregulated",NA
"79","AT2G42790","Downregulated","Upregulated",NA
"80","AT2G43560","Upregulated","Downregulated",NA
"81","AT2G44160","Upregulated",NA,"Downregulated"
"82","AT2G44350","Upregulated","Upregulated","Upregulated"
"83","AT2G46820","Upregulated","Downregulated",NA
"84","AT3G01480","Upregulated","Downregulated","Downregulated"
"85","AT3G03150","Downregulated","Downregulated",NA
"86","AT3G06650","Upregulated",NA,"Downregulated"
"87","AT3G12740","Downregulated","Upregulated",NA
"88","AT3G14770","Upregulated",NA,"Upregulated"
"89","AT3G15360","Upregulated","Downregulated",NA
"90","AT3G18080","Upregulated","Downregulated",NA
"91","AT3G18290","Downregulated","Upregulated",NA
"92","AT3G22850","Downregulated","Upregulated",NA
"93","AT3G24430","Upregulated","Downregulated",NA
"94","AT3G27925","Upregulated","Downregulated",NA
"95","AT3G29200","Upregulated",NA,"Downregulated"
"96","AT3G44750","Downregulated","Upregulated",NA
"97","AT3G45140","Upregulated","Upregulated","Downregulated"
"98","AT3G45180","Downregulated",NA,"Upregulated"
"99","AT3G47070","Upregulated","Downregulated","Downregulated"
"100","AT3G47470","Upregulated","Downregulated",NA
"101","AT3G48930","Downregulated",NA,"Downregulated"
"102","AT3G50930","Downregulated",NA,"Upregulated"
"103","AT3G51130","Downregulated",NA,"Upregulated"
"104","AT3G52990","Downregulated",NA,NA
"105","AT3G54050","Upregulated","Downregulated",NA
"106","AT3G54660","Upregulated","Downregulated",NA
"107","AT3G54890","Upregulated","Downregulated",NA
"108","AT3G55330","Upregulated","Downregulated",NA
"109","AT3G55800","Upregulated","Downregulated",NA
"110","AT3G56940","Upregulated","Downregulated",NA
"111","AT3G58810","Upregulated","Upregulated",NA
"112","AT3G61060","Downregulated","Downregulated",NA
"113","AT3G63490","Upregulated","Downregulated",NA
"114","AT4G01150","Upregulated","Downregulated",NA
"115","AT4G01800","Upregulated","Downregulated",NA
"116","AT4G02530","Upregulated","Downregulated",NA
"117","AT4G09650","Upregulated","Downregulated",NA
"118","AT4G10340","Upregulated","Downregulated",NA
"119","AT4G12800","Upregulated","Downregulated",NA
"120","AT4G13250","Downregulated","Downregulated",NA
"121","AT4G14320","Upregulated",NA,"Downregulated"
"122","AT4G15610","Downregulated","Upregulated",NA
"123","AT4G16260","Downregulated","Upregulated",NA
"124","AT4G16410","Upregulated","Downregulated",NA
"125","AT4G18240","Downregulated","Downregulated",NA
"126","AT4G18370","Upregulated","Downregulated",NA
"127","AT4G19880","Downregulated","Upregulated",NA
"128","AT4G20360","Upregulated","Downregulated",NA
"129","AT4G21280","Upregulated","Downregulated",NA
"130","AT4G22890","Upregulated","Downregulated",NA
"131","AT4G27280","Upregulated","Downregulated",NA
"132","AT4G29060","Upregulated","Downregulated","Downregulated"
"133","AT4G30950","Upregulated","Downregulated",NA
"134","AT4G33420","Downregulated",NA,"Upregulated"
"135","AT4G33500","Upregulated","Downregulated",NA
"136","AT4G34090","Upregulated","Downregulated",NA
"137","AT4G34670","Upregulated",NA,"Downregulated"
"138","AT4G35250","Upregulated","Downregulated",NA
"139","AT4G35760","Upregulated","Downregulated",NA
"140","AT4G36430","Upregulated","Upregulated",NA
"141","AT4G37040","Upregulated","Downregulated",NA
"142","AT4G37870","Upregulated","Upregulated",NA
"143","AT4G38160","Upregulated",NA,"Downregulated"
"144","AT4G39670","Downregulated",NA,"Upregulated"
"145","AT5G01750","Downregulated",NA,"Upregulated"
"146","AT5G03300","Upregulated",NA,"Downregulated"
"147","AT5G04140","Upregulated","Downregulated",NA
"148","AT5G04430","Upregulated",NA,"Downregulated"
"149","AT5G06690","Downregulated","Downregulated",NA
"150","AT5G10560","Downregulated",NA,"Downregulated"
"151","AT5G13630","Upregulated","Downregulated",NA
"152","AT5G13650","Upregulated","Downregulated",NA
"153","AT5G13750","Upregulated","Upregulated",NA
"154","AT5G14260","Downregulated","Downregulated",NA
"155","AT5G14780","Downregulated",NA,"Downregulated"
"156","AT5G16400","Downregulated","Downregulated",NA
"157","AT5G16710","Upregulated","Downregulated",NA
"158","AT5G17380","Downregulated","Upregulated","Upregulated"
"159","AT5G17920","Upregulated",NA,"Downregulated"
"160","AT5G18480","Upregulated",NA,"Upregulated"
"161","AT5G19220","Upregulated","Downregulated",NA
"162","AT5G19440","Downregulated","Upregulated","Upregulated"
"163","AT5G24300","Upregulated","Downregulated",NA
"164","AT5G24530","Downregulated","Upregulated",NA
"165","AT5G24760","Upregulated",NA,"Downregulated"
"166","AT5G24800","Upregulated","Downregulated",NA
"167","AT5G25770","Upregulated","Upregulated",NA
"168","AT5G26030","Upregulated",NA,"Upregulated"
"169","AT5G26570","Upregulated",NA,"Downregulated"
"170","AT5G33320","Upregulated",NA,"Downregulated"
"171","AT5G36170","Downregulated","Downregulated",NA
"172","AT5G36700","Upregulated","Downregulated",NA
"173","AT5G46110","Upregulated","Downregulated",NA
"174","AT5G47120","Upregulated",NA,"Upregulated"
"175","AT5G48790","Upregulated","Downregulated",NA
"176","AT5G48930","Upregulated",NA,"Downregulated"
"177","AT5G50210","Downregulated",NA,"Upregulated"
"178","AT5G52440","Downregulated","Downregulated",NA
"179","AT5G54270","Upregulated","Downregulated",NA
"180","AT5G54500","Downregulated","Upregulated","Upregulated"
"181","AT5G61820","Downregulated","Upregulated","Upregulated"
"182","AT5G62720","Upregulated",NA,"Upregulated"
"183","AT5G65220","Downregulated","Downregulated",NA
"184","AT5G65840","Upregulated","Downregulated",NA
"185","AT5G67030","Downregulated","Downregulated",NA
"186","ATCG00020","Upregulated","Downregulated",NA
"187","ATCG00140","Upregulated","Downregulated",NA
"188","ATCG00150","Upregulated","Downregulated",NA
